text,label
I think this is the maximum salary so that Atlanta can use the full MLE and still stay under the tax.,analysis
He's about to be 35 and has never made an all star team. This contract is fine.,analysis
"He gave the 16-3 Knicks 2 of their losses, both being game winners",analysis
His potential suitors are playoff teams and none of them have cap space.,analysis
21M with a trade kicker makes this a trade asset more than anything. Hawks keeping cap flexibility while they shop for a big,analysis
302M career earnings after that contract extension btw,analysis
Healthy timelord would make us a contender,hot_take
CJ probably has more value than Lillard at this point in time,hot_take
He is the Michael Jordan of Bradley Beals,hot_take
The Hawks vs the Knicks were the real NBA finals.,hot_take
No back to back for the Knicks,hot_take
Someone is going to give this guy WAY too much money next year,hot_take
Zion williamson is on a max with 0 playoff games played,hot_take
Read that name and my fight or flight kicked in,reaction
NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,reaction
Knicks fucked,reaction
Jennifer in shambles,reaction
Boogeyman gets paid,reaction
Bro got paid for that playoff run,reaction
Pimp cane included as a signing bonus.,reaction
"Jokic dominated that series averaging 30/14/7 with 2 stocks per game, shooting 58/42/83, and had a 30/20/10 game",analysis
SGA's fourth quarter in Game 4 is pretty fun + JDub getting a 40 piece in Game 5,analysis
"One of the closest overall margins in the history of the finals so 4-1 is kind of moot. Every game saw an epic comeback, including the largest comeback ever in finals history",analysis
Pacers vs Thunder is easily #1.,hot_take
2024 was somehow even worse,hot_take
Celtics Dallas was not interesting,hot_take
"5, 6 and 7 were all so boring",hot_take
Bucks Suns game 5 is the finest game of the last decade,hot_take
Celtics in last is pure hater,hot_take
I literally don't remember anything from 2023. All I could tell you is that the Nuggets won and the Heat lost.,reaction
I literally don't remember who played in 2023,reaction
Every game of the 2026 Finals could be its own sports movie.,reaction
"Ewing's agent was David Falk who was also Jordan's. With Falk asking, the implicit threat was not only will you not play for the Knicks, all the other teams will be told not to sign you",analysis
Ewing was notorious for refusing to sign autographs. He never understood why people would want an autograph and so he decided he wasn't going to do it.,analysis
Oakley holds a lot of hate in his heart.,hot_take
Oakley is just an emotionally underdeveloped sadistic bully who sadly never got smacked around.,hot_take
Brunson is a better Knick than Patrick.,hot_take
Starting to think Oak is the problem,hot_take
"Oakley is weird af. James Dolan was the one banning him from MSG, but he keeps targeting Ewing.",hot_take
Took a case???,reaction
$600k for grapes is wild,reaction
"Love you Oak, give it a rest",reaction
NBA might genuinely have the worst fans imaginable. This shit is soccer tier,hot_take
San Antonio is actually fairly hood and then seeing what knick's fans did to theirs? This was bound to happen.,hot_take
Still don't understand why people are attacking people over a pointless basketball game,hot_take
"it shouldn't be this bad, the fuck is wrong with people",reaction
What the hell is wrong with people,reaction
FATHER/SON?!,reaction
Fuck man I hope these guys are ok,reaction
selling high on an all nba first team tier guy just isnt possible without costing the gm their job thanks to fan backlash,analysis
2024 was a weak draft class so even getting the #1 pick then doesn't move the needle,analysis
"If you can time it right, selling high on your top guy would be almost always the smartest strategic choice. But the fan reaction would be terrible, and it's hard to actually get the full value of an MVP caliber player in their prime.",analysis
The Lillard trade was such a mistake. They effectively handed Boston their third or second best player and a ring.,hot_take
He woulda been a Knick 100% guaranteed,hot_take
You can't just sell a top 40 all time guy in his prime until you've exhausted every chance.,hot_take
Keeping Giannis this year was horrible management,hot_take
If they traded Giannis I would have never forgiven them.,reaction
Anthony Davis,reaction
We would've demanded the head of John Horst,reaction
"I didn't have no relationship with nobody on the Warriors. Nobody liked Golden State. It felt like an underdog to me because I'm looking at the totality of the franchise, not what happened these last 5 years",hot_take
That's the price of being great - everyone wants a piece of you when you win and turns on you when you leave,hot_take
Thanasis is actually really entertaining as a G-Leaguer. Tall. Athletic. Generally has a clue what he's doing. And then he takes a shot.,analysis
"When Suns signed Zoran Dragic to appease Goran, they shipped him to Miami with his brother.",analysis
"Castle shot 41% from deep in the second half of the season, and shot 35% in the playoffs. So as long as he's around league average that's fine.",analysis
"Fox was clearly hurt, he never went to the paint and never really used his speed. People are acting like the only shot of getting off the contract is attaching 4 first rounders to a tanking team.",analysis
Arenas -> Wall -> Beal -> Young. Wiz gonna Wiz,reaction
"This restarts the cycle, the planet is healing",reaction
Trading Ray Allen in his prime was the one that set the Bucks back by a decade.,analysis
"Presti has showed me the value of second round picks, the Kings are screwed",hot_take
